City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
404,Zalesovo,53.9939,84.7431,18.5,95,100,12.88,RU,2022-02-13 20:20:14,snow
405,Ixtapa,20.7,-105.2,78.03,53,75,9.22,MX,2022-02-13 20:15:36,broken clouds
406,Tekeli,44.83,78.8239,26.17,82,100,5.3,KZ,2022-02-13 20:20:15,overcast clouds
407,Shimoda,34.6667,138.95,36.1,91,100,23.87,JP,2022-02-13 20:21:15,light rain
408,Tuy Hoa,13.0833,109.3,73.99,92,94,4.81,VN,2022-02-13 20:17:55,overcast clouds
409,Lubao,14.9167,120.55,78.15,89,100,5.28,PH,2022-02-13 20:21:16,overcast clouds
410,Quatre Cocos,-20.2078,57.7625,81.09,83,76,14.34,MU,2022-02-13 20:21:16,broken clouds
411,Balakhninskiy,58.0106,114.2769,-37.82,100,47,2.86,RU,2022-02-13 20:21:17,scattered clouds
412,Nassau,40.7507,-73.5829,32.76,81,100,10.36,US,2022-02-13 20:21:17,light snow
413,Kruisfontein,-34.0033,24.7314,65.23,91,16,7.49,ZA,2022-02-13 20:19:50,few clouds
414,Jieshi,22.8134,115.8257,55.94,86,100,6.15,CN,2022-02-13 20:21:18,light rain
415,Port Hedland,-20.3167,118.5667,84.25,74,4,10.36,AU,2022-02-13 20:21:19,clear sky
416,Havre-Saint-Pierre,50.2334,-63.5986,5.0,60,0,10.36,CA,2022-02-13 20:21:19,clear sky
417,Eirunepe,-6.6603,-69.8736,74.86,97,100,2.82,BR,2022-02-13 20:21:19,overcast clouds
418,Wamba,8.9333,8.6,79.74,14,9,3.09,NG,2022-02-13 20:21:20,clear sky
419,Provideniya,64.3833,-173.3,-14.48,95,19,3.15,RU,2022-02-13 20:21:20,few clouds
420,Kumi,36.1136,128.336,35.28,92,22,1.99,KR,2022-02-13 20:21:21,few clouds
421,Valparaiso,-33.0393,-71.6273,70.03,69,75,12.66,CL,2022-02-13 20:21:21,broken clouds
422,Kirkwall,58.9848,-2.9587,39.25,100,75,0.0,GB,2022-02-13 20:21:21,broken clouds
423,Umm Lajj,25.0213,37.2685,68.18,36,0,15.55,SA,2022-02-13 20:21:22,clear sky
424,Albacete,38.8333,-2.0,49.01,62,0,6.91,ES,2022-02-13 20:21:22,clear sky
425,Ganganagar,29.9167,73.8833,54.79,38,0,7.07,IN,2022-02-13 20:21:23,clear sky
426,Esperance,-33.8667,121.9,61.59,74,0,10.65,AU,2022-02-13 20:21:23,clear sky
427,Two Hills,53.7169,-111.7518,36.48,86,89,21.85,CA,2022-02-13 20:21:24,overcast clouds
428,Songjianghe,42.1859,127.479,13.15,95,100,2.33,CN,2022-02-13 20:21:24,light snow
429,Svetlopolyansk,59.4184,52.3605,-0.33,100,86,2.84,RU,2022-02-13 20:21:14,overcast clouds
430,Santa Cruz De La Palma,28.6835,-17.7642,65.14,63,20,6.91,ES,2022-02-13 20:21:25,few clouds
431,Bella Union,-30.2752,-57.6007,84.2,18,0,8.01,UY,2022-02-13 20:21:26,clear sky
432,Belmonte,-15.8631,-38.8828,82.4,87,100,10.42,BR,2022-02-13 20:21:27,overcast clouds
433,Kedrovyy,56.1667,91.8167,-17.14,99,44,5.12,RU,2022-02-13 20:21:27,scattered clouds
434,Praia Da Vitoria,38.7333,-27.0667,57.76,77,75,7.07,PT,2022-02-13 20:21:28,broken clouds
435,Elat,29.5581,34.9482,62.44,34,0,13.8,IL,2022-02-13 20:21:28,clear sky
436,Kosikha,53.3617,84.5822,21.97,95,100,13.2,RU,2022-02-13 20:21:29,light snow
437,Camacupa,-12.0167,17.4833,61.83,95,73,2.04,AO,2022-02-13 20:21:29,light rain
438,Hailin,44.5833,129.4167,-5.82,98,100,2.39,CN,2022-02-13 20:21:30,overcast clouds
439,Kishtwar,33.3167,75.7667,40.55,71,100,4.34,IN,2022-02-13 20:21:30,overcast clouds
440,Mitzic,0.7821,11.549,71.87,90,99,3.67,GA,2022-02-13 20:21:31,overcast clouds
441,Chicama,-7.8447,-79.1469,72.14,53,74,11.68,PE,2022-02-13 20:21:31,broken clouds
442,Egvekinot,66.3167,-179.1667,-19.95,92,90,7.23,RU,2022-02-13 20:21:31,overcast clouds
443,Bergheim,50.9557,6.6399,50.2,69,100,1.99,DE,2022-02-13 20:21:32,overcast clouds
444,Serenje,-13.2325,30.2352,62.31,95,90,3.53,ZM,2022-02-13 20:21:32,overcast clouds
445,Sena Madureira,-9.0656,-68.6569,80.85,89,83,3.87,BR,2022-02-13 20:21:33,broken clouds
446,Pandamatenga,-18.5278,25.627,67.91,72,1,2.51,BW,2022-02-13 20:21:33,clear sky
447,Mednogorsk,51.4128,57.595,13.08,99,100,8.72,RU,2022-02-13 20:21:34,overcast clouds
448,Yuxia,34.0615,108.6291,36.21,68,89,2.3,CN,2022-02-13 20:21:34,overcast clouds
449,Acarau,-2.8856,-40.12,82.47,72,8,15.21,BR,2022-02-13 20:21:35,clear sky
450,Takhtamygda,54.1,123.5667,-5.73,95,100,2.53,RU,2022-02-13 20:21:35,overcast clouds
451,Linxia,35.6003,103.2064,12.72,80,68,3.38,CN,2022-02-13 20:21:35,broken clouds
452,Jha Jha,24.7667,86.3667,58.15,48,0,3.09,IN,2022-02-13 20:21:36,clear sky
453,Dalgopol,43.05,27.35,39.79,85,99,2.73,BG,2022-02-13 20:21:36,overcast clouds
454,Kalmunai,7.4167,81.8167,76.03,83,98,6.33,LK,2022-02-13 20:21:37,overcast clouds
455,Arcos De La Frontera,36.7508,-5.8106,58.12,76,100,1.99,ES,2022-02-13 20:21:37,overcast clouds
456,Bayir,37.2687,28.2167,41.52,90,17,3.44,TR,2022-02-13 20:22:38,few clouds
457,Inverell,-29.7833,151.1167,58.1,83,0,1.01,AU,2022-02-13 20:22:38,clear sky
458,Mareeba,-17.0,145.4333,70.52,91,14,2.28,AU,2022-02-13 20:22:38,few clouds
